Num_Acc,dep,lat,long,date,hrmn,atm,mortel
201900031906,84,44.3734680,4.9369510,2019-09-04,17:25,1,False
201900031912,67,49.0267760,7.9461820,2019-09-05,11:10,1,False
201900031913,54,48.6313470,6.3723440,2019-09-02,08:00,1,False
201900031934,28,48.1827190,1.3898390,2019-06-18,10:40,1,True
201900031955,69,45.9840900,4.7389100,2019-09-03,14:30,1,False
201900031963,974, -20.8977900,55.4755000,2019-09-02,22:10,1,False
201900031965,974, -20.9498200,55.3016400,2019-09-02,20:55,1,False
201900031967,973,4.9272489, -52.3195231,2019-09-03,10:29,1,False
201900031970,69,45.7373900,4.8291400,2019-09-03,21:15,1,False
201900031976,42,45.6966850,4.1754930,2019-06-25,10:50,1,False
201900031985,85,46.4922300, -1.7500000,2019-09-02,09:10,1,False
201900031999,67,48.5377440,7.6952210,2019-08-30,14:05,7,False
201900032022,54,48.6988170,6.1333760,2019-09-03,19:10,1,False
201900032030,37,47.3461811,0.6567455,2019-09-02,20:05,1,False
201900032034,49,47.4583187, -0.5451834,2019-05-31,12:45,1,False
201900032035,35,48.1213000, -1.6622000,2019-09-02,19:45,1,False
201900032037,44,47.2061200, -1.6014000,2019-04-05,18:00,2,False
201900032063,69,45.6767000,4.8579300,2019-06-24,08:30,1,False
201900032086,75,48.8284772,2.3274158,2019-09-03,15:35,1,False
201900032097,94,48.8118200,2.4297100,2019-09-02,20:00,1,False
201900032118,3,46.4831668,2.5258305,2019-03-06,17:55,8,False
201900032169,973,4.8856356, -52.2965774,2019-03-09,12:25,1,False
201900032178,69,45.8622500,4.8935800,2019-03-07,18:00,1,False
201900032193,974, -20.9444770,55.3386170,2019-02-27,16:30,1,False
201900032209,67,48.4227840,7.6978310,2019-04-13,16:50,2,False
201900032215,74,46.0784436,6.4007643,2019-04-12,16:30,1,False
201900032221,13,43.4543150,5.3953950,2019-03-07,08:00,1,False
201900032234,29,48.2723490, -4.5956590,2019-04-13,11:30,1,False
201900032362,974, -21.3353800,55.4745800,2019-03-04,07:35,1,False
201900032376,87,45.8191200,1.2512200,2019-03-02,11:50,1,False
201900032382,69,45.7570400,4.8585900,2019-04-10,12:50,1,False
201900032394,78,48.7855100,2.1890100,2019-04-06,13:00,1,False
201900032399,65,43.2213000,0.0582500,2019-04-10,14:15,1,False
201900032403,64,43.4857826, -1.4734707,2019-04-09,21:55,1,False
201900032414,45,47.9509852,1.8431068,2019-04-10,13:00,1,False
201900032420,33,44.8561600, -0.6495200,2019-04-04,18:15,1,False
201900032421,33,44.8120400, -0.5908000,2019-04-02,17:30,1,False
201900032423,32,43.6461900,0.5831900,2019-04-09,17:23,1,False
201900032429,29,48.3926400, -4.5232000,2019-04-09,07:30,1,False
201900032441,75,48.8843410,2.3668690,2019-04-10,22:15,1,False
